year,month,avg_throughput
2011,1,8.8829799619871
2011,2,27.642125325062214
2011,3,14.330196269515382
2011,5,16.067540613642969
2011,6,12.82195670677287
2011,7,9.4761607777800734
2011,8,11.511034917745175
2011,9,12.730728342082761
2011,10,16.638928777388674
2011,11,12.507144487445965
2011,12,13.493925140142432
2012,1,15.135927640902592
2012,2,11.9924799930455
2012,3,11.932327911725203
2012,4,12.58500276612371
2012,5,12.233582569962897
2012,6,12.277513412419847
2012,7,12.473836204606743
2012,8,12.677506252922832
2012,9,12.713798944806062
2012,10,12.944264155920932
2012,11,13.02517699198197
2012,12,12.886578599286555
2013,1,12.965270445249425
2013,2,13.1651461252377
2013,3,13.529153006952946
2013,4,13.810816366170958
2013,5,13.280270503328184
2013,6,13.008595351975554
2013,7,13.486358304097854
2013,8,13.452228935876024
2013,9,13.232376852217802
2013,10,13.029197879594538
2013,11,10.490186656230529
2013,12,9.7900080709610613
2014,1,10.599314176537545
2014,2,10.715717472500524
2014,3,11.220400947568628
2014,4,12.437673784457635
2014,5,11.962315861170891
2014,6,12.056932277484581
2014,7,12.812709022559909
2014,8,13.402797942188645
2014,9,13.397707941878741
2014,10,14.512451813293556
2014,11,14.525915725281758
2014,12,14.201069061612859
2015,1,14.792648481533684
2015,2,14.452963722231894
2015,3,12.060033847922442
2015,4,11.448926948857602
2015,5,23.810941173542663
2015,6,22.000548198118665
2015,7,21.297413202015534
2015,8,21.757040887401192
2015,9,21.333192114678326
2015,10,22.751165195777244
2015,11,23.996885896277846
2015,12,25.271234522312827
2016,1,23.91229020251571
2016,2,30.176652907837621
2016,3,40.398188392430534
2016,4,39.913106496347957
2016,5,40.925989734022693
2016,6,41.318462203817326
2016,7,41.613179944823095
2016,8,41.834071160726744
2016,9,42.819139965593465
2016,10,42.177870091643285
2016,11,42.878742876477439
2016,12,43.669816206512252
2017,1,43.833581440855376
2017,2,42.174542635698039
2017,3,44.0260306022743
2017,4,40.370964226787869
2017,5,28.125683631486822
2017,6,25.546468202875573
2017,7,35.109420771157467
2017,8,25.639005822147105
2017,9,23.156842369414768
2017,10,24.324890600325229
2017,11,27.402599209755422
2017,12,27.276366180062652
2018,1,26.601761643110908
2018,2,26.332869495500713
2018,3,26.5421552425654
2018,4,28.725416637885612
2018,5,28.6643287574606
2018,6,27.516402416240638
2018,7,28.079064579695519
2018,8,22.880685781070067
2018,9,27.983097502927215
2018,10,29.413721317142151
2018,11,27.958885728197682
2018,12,28.535722131027736